gadm_L3number,plate_number,province_upper,NUTS_level1,NUTS_level1_name,NUTS_level2,metropolitan,num_stateuni_2023,num_foundationuni_2023,num_foundationvocshool_2023,num_totaluni_2023,first_uni_established,daytime_assoc_stu_m_22_23,daytime_assoc_stu_f_22_23,daytime_assoc_stu_total_22_23,daytime_bach_stu_m_22_23,daytime_bach_stu_f_22_23,daytime_bach_stu_total_22_23,daytime_master_stu_m_22_23,daytime_master_stu_f_22_23,daytime_master_stu_total_22_23,daytime_doc_stu_m_22_23,daytime_doc_stu_f_22_23,daytime_doc_stu_total_22_23,daytime_stu_m_22_23,daytime_stu_f_22_23,daytime_stu_total_22_23,evening_assoc_stu_m_22_23,evening_assoc_stu_f_22_23,evening_assoc_stu_total_22_23,evening_bach_stu_m_22_23,evening_bach_stu_f_22_23,evening_bach_stu_total_22_23,evening_master_stu_m_22_23,evening_master_stu_f_22_23,evening_master_stu_total_22_23,evening_doc_stu_m_22_23,evening_doc_stu_f_22_23,evening_doc_stu_total_22_23,evening_stu_m_22_23,evening_stu_f_22_23,evening_stu_total_22_23,open_assoc_stu_m_22_23,open_assoc_stu_f_22_23,open_assoc_stu_total_22_23,open_bach_stu_m_22_23,open_bach_stu_f_22_23,open_bach_stu_total_22_23,open_master_stu_m_22_23,open_master_stu_f_22_23,open_master_stu_total_22_23,open_doc_stu_m_22_23,open_doc_stu_f_22_23,open_doc_stu_total_22_23,open_stu_m_22_23,open_stu_f_22_23,open_stu_total_22_23,distance_assoc_stu_m_22_23,distance_assoc_stu_f_22_23,distance_assoc_stu_total_22_23,distance_bach_stu_m_22_23,distance_bach_stu_f_22_23,distance_bach_stu_total_22_23,distance_master_stu_m_22_23,distance_master_stu_f_22_23,distance_master_stu_total_22_23,distance_doc_stu_m_22_23,distance_doc_stu_f_22_23,distance_doc_stu_total_22_23,distance_stu_m_22_23,distance_stu_f_22_23,distance_stu_total_22_23,total_assoc_stu_m_22_23,total_assoc_stu_f_22_23,total_assoc_stu_total_22_23,total_bach_stu_m_22_23,total_bach_stu_f_22_23,total_bach_stu_total_22_23,total_master_stu_m_22_23,total_master_stu_f_22_23,total_master_stu_total_22_23,total_doc_stu_m_22_23,total_doc_stu_f_22_23,total_doc_stu_total_22_23,total_stu_m_22_23,total_stu_f_22_23,total_stu_total_22_23,lec_num_prof_m_22_23,lec_num_prof_f_22_23,lec_num_prof_total_22_23,lec_num_assocprof_m_22_23,lec_num_assocprof_f_22_23,lec_num_assocprof_total_22_23,lec_num_assistprof_m_22_23,lec_num_assistprof_f_22_23,lec_num_assistprof_total_22_23,lec_num_lecturer_m_22_23,lec_num_lecturer_f_22_23,lec_num_lecturer_total_22_23,lec_num_researchassist_m_22_23,lec_num_researchassist_f_22_23,lec_num_researchassist_total_22_23,lec_num_all_m_22_23,lec_num_all_f_22_23,lec_num_all_total_22_23
38,76,IGDIR,TRA,Kuzeydogu Anadolu,TRA2,0,1,0,0,1,22.05.2008,2199,2226,4425,2469,2526,4995,893,489,1382,83,29,112,5644,5270,10914,485,538,1023,343,259,602,89,33,122,0,0,0,917,830,1747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174,217,391,0,0,0,0,0,0,174,217,391,2684,2764,5448,2986,3002,5988,982,522,1504,83,29,112,6735,6317,13052,36,0,36,53,11,64,124,50,174,96,52,148,35,32,67,344,145,489
39,32,ISPARTA,TR6,Akdeniz,TR61,0,2,0,0,2,11.07.1992,10411,9226,19637,13054,13113,26167,2260,1714,3974,774,653,1427,26499,24706,51205,2976,2355,5331,4548,2744,7292,167,129,296,0,0,0,7691,5228,12919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,516,655,1171,3,2,5,284,107,391,0,0,0,803,764,1567,13903,12236,26139,17605,15859,33464,2711,1950,4661,774,653,1427,34993,30698,65691,347,133,480,175,130,305,325,253,578,335,196,531,342,373,715,1524,1085,2609
40,34,ISTANBUL,TR1,Istanbul,TR10,1,13,44,3,60,18.11.1933,67043,75281,142324,274754,290104,564858,46737,50374,97111,16893,17578,34471,405427,433337,838764,20146,17417,37563,3249,2502,5751,5212,4682,9894,0,0,0,28607,24601,53208,64318,117623,181941,106895,250783,357678,0,0,0,0,0,0,171213,368406,539619,3833,3728,7561,4104,4062,8166,3577,2648,6225,0,0,0,11514,10438,21952,155340,214049,369389,389002,547451,936453,55526,57704,113230,16893,17578,34471,616761,836782,1453543,5554,3415,8969,2614,2333,4947,5096,5531,10627,2414,4560,6974,3733,4890,8623,19411,20729,40140
41,35,IZMIR,TR3,Ege,TR31,1,6,3,1,10,01.01.1955,16845,12458,29303,60079,60980,121059,6594,8226,14820,2976,3659,6635,86494,85323,171817,3940,1914,5854,5506,3175,8681,1103,941,2044,0,0,0,10549,6030,16579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,532,603,1135,483,818,1301,347,166,513,0,0,0,1362,1587,2949,21317,14975,36292,66068,64973,131041,8044,9333,17377,2976,3659,6635,98405,92940,191345,1335,1085,2420,623,683,1306,822,938,1760,754,1148,1902,1177,1504,2681,4711,5358,10069
42,46,KAHRAMANMARAS,TR6,Akdeniz,TR63,1,2,0,0,2,11.07.1992,6014,4752,10766,6352,7620,13972,1597,1250,2847,301,209,510,14264,13831,28095,2309,1332,3641,1418,1280,2698,604,234,838,0,0,0,4331,2846,7177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,81,132,320,451,771,356,128,484,0,0,0,727,660,1387,8374,6165,14539,8090,9351,17441,2557,1612,4169,301,209,510,19322,17337,36659,173,42,215,115,40,155,234,141,375,224,113,337,194,183,377,940,519,1459
43,78,KARABUK,TR8,Bati Karadeniz,TR81,0,1,0,0,1,29.05.2007,4767,3620,8387,13353,9166,22519,1998,1417,3415,885,282,1167,21003,14485,35488,1762,1719,3481,3389,1789,5178,0,0,0,0,0,0,5151,3508,8659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161,477,638,36,20,56,338,179,517,0,0,0,535,676,1211,6690,5816,12506,16778,10975,27753,2336,1596,3932,885,282,1167,26689,18669,45358,109,25,134,126,38,164,294,149,443,138,92,230,115,83,198,782,387,1169
44,70,KARAMAN,TR5,Bati Anadolu,TR52,0,1,0,0,1,29.05.2007,2657,3056,5713,3431,4473,7904,850,729,1579,88,66,154,7026,8324,15350,677,1200,1877,540,532,1072,585,413,998,0,0,0,1802,2145,3947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,34,118,0,0,0,84,34,118,3334,4256,7590,3971,5005,8976,1519,1176,2695,88,66,154,8912,10503,19415,46,21,67,103,31,134,180,123,303,95,73,168,88,77,165,512,325,837
45,36,KARS,TRA,Kuzeydogu Anadolu,TRA2,0,1,0,0,1,11.07.1992,2222,2612,4834,4683,4951,9634,738,802,1540,102,105,207,7745,8470,16215,593,777,1370,707,695,1402,48,26,74,0,0,0,1348,1498,2846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,351,306,657,8,4,12,0,0,0,361,311,672,2817,3390,6207,5741,5952,11693,794,832,1626,102,105,207,9454,10279,19733,80,24,104,92,58,150,173,115,288,112,76,188,110,98,208,567,371,938
46,37,KASTAMONU,TR8,Bati Karadeniz,TR82,0,1,0,0,1,17.03.2006,4119,3168,7287,5590,6586,12176,947,889,1836,219,149,368,10875,10792,21667,957,1156,2113,1315,1058,2373,71,62,133,0,0,0,2343,2276,4619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,233,411,644,157,108,265,0,0,0,390,519,909,5076,4324,9400,7138,8055,15193,1175,1059,2234,219,149,368,13608,13587,27195,74,12,86,101,38,139,196,129,325,134,126,260,61,67,128,566,372,938
47,38,KAYSERI,TR7,Orta Anadolu,TR72,1,3,1,0,4,20.07.1982,6326,4779,11105,17308,18196,35504,3175,3028,6203,1350,1237,2587,28159,27240,55399,2249,734,2983,6177,3949,10126,328,209,537,0,0,0,8754,4892,13646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,233,186,419,29,15,44,0,0,0,262,201,463,8575,5513,14088,23718,22331,46049,3532,3252,6784,1350,1237,2587,37175,32333,69508,412,159,571,198,111,309,345,272,617,273,263,536,374,499,873,1602,1304,2906
48,79,KILIS,TRC,Güneydogu Anadolu,TRC1,0,1,0,0,1,29.05.2007,1776,1914,3690,2371,3677,6048,250,189,439,19,15,34,4416,5795,10211,11,8,19,297,359,656,71,62,133,0,0,0,379,429,808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1787,1922,3709,2668,4036,6704,321,251,572,19,15,34,4795,6224,11019,29,2,31,34,15,49,87,51,138,71,45,116,73,52,125,294,165,459
49,71,KIRIKKALE,TR7,Orta Anadolu,TR71,0,1,0,0,1,11.07.1992,3384,2228,5612,7196,9096,16292,1521,1313,2834,277,196,473,12378,12833,25211,1142,576,1718,3111,1800,4911,69,71,140,0,0,0,4322,2447,6769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1273,461,1734,6,30,36,0,0,0,0,0,0,1279,491,1770,5799,3265,9064,10313,10926,21239,1590,1384,2974,277,196,473,17979,15771,33750,158,68,226,104,62,166,163,134,297,83,66,149,145,188,333,653,518,1171
50,39,KIRKLARELI,TR2,Bati Marmara,TR21,0,1,0,0,1,29.05.2007,4530,3336,7866,4490,5183,9673,554,538,1092,37,28,65,9611,9085,18696,883,930,1813,689,985,1674,61,24,85,0,0,0,1633,1939,3572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,353,67,420,0,0,0,280,139,419,0,0,0,633,206,839,5766,4333,10099,5179,6168,11347,895,701,1596,37,28,65,11877,11230,23107,29,14,43,69,32,101,158,133,291,131,105,236,106,106,212,493,390,883
51,40,KIRSEHIR,TR7,Orta Anadolu,TR71,0,1,0,0,1,17.03.2006,3587,2800,6387,5306,5841,11147,634,562,1196,104,67,171,9631,9270,18901,269,281,550,417,386,803,20,19,39,0,0,0,706,686,1392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3856,3081,6937,5723,6227,11950,654,581,1235,104,67,171,10337,9956,20293,74,29,103,88,25,113,195,131,326,139,95,234,80,97,177,576,377,953
52,41,KOCAELI,TR4,Dogu Marmara,TR42,1,2,1,0,3,11.07.1992,9640,6924,16564,17962,16598,34560,4266,2983,7249,1271,1010,2281,33139,27515,60654,3735,2259,5994,4720,2252,6972,956,482,1438,0,0,0,9411,4993,14404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,530,378,908,240,586,826,230,121,351,0,0,0,1000,1085,2085,13905,9561,23466,22922,19436,42358,5452,3586,9038,1271,1010,2281,43550,33593,77143,332,175,507,183,147,330,324,322,646,263,330,593,439,543,982,1541,1517,3058
53,42,KONYA,TR5,Bati Anadolu,TR52,1,3,2,0,5,11.04.1975,13837,9652,23489,28943,35997,64940,7149,6394,13543,2083,1530,3613,52012,53573,105585,3237,1846,5083,8552,6397,14949,2179,1543,3722,0,0,0,13968,9786,23754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,23,126,0,0,0,103,23,126,17074,11498,28572,37495,42394,79889,9431,7960,17391,2083,1530,3613,66083,63382,129465,862,245,1107,421,219,640,655,520,1175,548,382,930,785,979,1764,3271,2345,5616
54,43,KUTAHYA,TR3,Ege,TR33,0,2,0,0,2,11.07.1992,6994,6287,13281,10542,10441,20983,2429,1831,4260,260,149,409,20225,18708,38933,2251,1066,3317,4042,2358,6400,1303,651,1954,0,0,0,7596,4075,11671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9245,7353,16598,14584,12799,27383,3732,2482,6214,260,149,409,27821,22783,50604,139,47,186,96,57,153,274,217,491,210,156,366,165,167,332,884,644,1528
55,44,MALATYA,TRB,Ortadogu Anadolu,TRB1,1,2,0,0,2,03.04.1975,4824,3775,8599,9631,11356,20987,1779,1691,3470,817,581,1398,17051,17403,34454,119,130,249,1969,1521,3490,301,148,449,0,0,0,2389,1799,4188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,53,171,1063,1166,2229,33,12,45,0,0,0,1214,1231,2445,5061,3958,9019,12663,14043,26706,2113,1851,3964,817,581,1398,20654,20433,41087,298,85,383,213,97,310,251,186,437,193,114,307,265,284,549,1220,766,1986
56,45,MANISA,TR3,Ege,TR33,1,1,0,0,1,11.07.1992,7103,5170,12273,9871,9913,19784,1406,1277,2683,291,242,533,18671,16602,35273,1888,1108,2996,4052,2199,6251,187,181,368,0,0,0,6127,3488,9615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,482,718,1200,96,77,173,369,183,552,0,0,0,947,978,1925,9473,6996,16469,14019,12189,26208,1962,1641,3603,291,242,533,25745,21068,46813,196,111,307,110,91,201,179,181,360,192,151,343,282,311,593,959,845,1804
57,47,MARDIN,TRC,Güneydogu Anadolu,TRC3,1,1,0,0,1,29.05.2007,1991,1830,3821,3755,4656,8411,766,537,1303,81,33,114,6593,7056,13649,706,599,1305,151,141,292,420,182,602,0,0,0,1277,922,2199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,307,379,686,0,0,0,0,0,0,0,0,0,307,379,686,3004,2808,5812,3906,4797,8703,1186,719,1905,81,33,114,8177,8357,16534,24,5,29,72,16,88,147,64,211,109,50,159,90,44,134,442,179,621
58,33,MERSIN,TR6,Akdeniz,TR62,1,2,2,0,4,11.07.1992,8592,7175,15767,14344,14703,29047,2010,2252,4262,384,452,836,25330,24582,49912,2311,1103,3414,341,192,533,244,302,546,0,0,0,2896,1597,4493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1232,741,1973,0,0,0,252,207,459,0,0,0,1484,948,2432,12135,9019,21154,14685,14895,29580,2506,2761,5267,384,452,836,29710,27127,56837,282,169,451,143,111,254,227,222,449,288,376,664,281,305,586,1221,1183,2404
59,48,MUGLA,TR3,Ege,TR32,1,1,0,0,1,11.07.1992,6981,5037,12018,10919,10458,21377,1253,1443,2696,339,374,713,19492,17312,36804,1369,720,2089,1953,1112,3065,25,34,59,0,0,0,3347,1866,5213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,44,129,8,19,27,77,38,115,0,0,0,170,101,271,8435,5801,14236,12880,11589,24469,1355,1515,2870,339,374,713,23009,19279,42288,192,73,265,126,90,216,213,191,404,254,240,494,199,194,393,984,788,1772
60,49,MUS,TRB,Ortadogu Anadolu,TRB2,0,1,0,0,1,29.05.2007,2791,2333,5124,3022,3483,6505,372,261,633,42,8,50,6227,6085,12312,0,0,0,67,34,101,124,18,142,0,0,0,191,52,243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2791,2333,5124,3089,3517,6606,496,279,775,42,8,50,6418,6137,12555,18,4,22,65,16,81,165,49,214,148,42,190,90,47,137,486,158,644
61,50,NEVSEHIR,TR7,Orta Anadolu,TR71,0,1,1,0,2,16.09.2005,4421,5085,9506,5041,8204,13245,1159,1165,2324,176,150,326,10797,14604,25401,595,679,1274,724,786,1510,91,51,142,0,0,0,1410,1516,2926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,716,671,1387,0,0,0,230,96,326,0,0,0,946,767,1713,5732,6435,12167,5765,8990,14755,1480,1312,2792,176,150,326,13153,16887,30040,60,21,81,50,28,78,171,148,319,165,144,309,71,104,175,517,445,962
62,51,NIGDE,TR7,Orta Anadolu,TR71,0,1,0,0,1,11.07.1992,3528,2422,5950,5606,6793,12399,1317,1090,2407,243,197,440,10694,10502,21196,1261,898,2159,926,747,1673,136,63,199,0,0,0,2323,1708,4031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4789,3320,8109,6532,7540,14072,1453,1153,2606,243,197,440,13017,12210,25227,114,35,149,92,51,143,151,141,292,147,110,257,120,119,239,624,456,1080
63,52,ORDU,TR9,Dogu Karadeniz,TR90,1,1,0,0,1,17.03.2006,3468,2304,5772,3689,4784,8473,684,858,1542,116,122,238,7957,8068,16025,27,20,47,705,597,1302,172,163,335,0,0,0,904,780,1684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3495,2324,5819,4394,5381,9775,856,1021,1877,116,122,238,8861,8848,17709,64,27,91,92,54,146,135,102,237,96,62,158,124,170,294,511,415,926
64,80,OSMANIYE,TR6,Akdeniz,TR63,0,1,0,0,1,29.05.2007,2632,1481,4113,2837,3581,6418,586,432,1018,66,41,107,6121,5535,11656,590,294,884,507,466,973,459,381,840,0,0,0,1556,1141,2697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3222,1775,4997,3344,4047,7391,1045,813,1858,66,41,107,7677,6676,14353,38,10,48,51,19,70,115,67,182,100,52,152,66,66,132,370,214,584
65,53,RIZE,TR9,Dogu Karadeniz,TR90,0,1,0,0,1,17.03.2006,2706,2192,4898,4601,5597,10198,627,601,1228,128,101,229,8062,8491,16553,45,17,62,287,541,828,97,61,158,0,0,0,429,619,1048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,16,52,0,0,0,36,16,52,2751,2209,4960,4888,6138,11026,760,678,1438,128,101,229,8527,9126,17653,100,19,119,112,57,169,174,149,323,110,86,196,209,266,475,705,577,1282
66,54,SAKARYA,TR4,Dogu Marmara,TR42,1,2,0,0,2,11.07.1992,9090,6948,16038,16911,16676,33587,3878,2961,6839,1170,728,1898,31049,27313,58362,2687,1751,4438,7086,3863,10949,567,393,960,0,0,0,10340,6007,16347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1967,861,2828,497,1037,1534,884,572,1456,0,0,0,3348,2470,5818,13744,9560,23304,24494,21576,46070,5329,3926,9255,1170,728,1898,44737,35790,80527,331,71,402,206,101,307,352,232,584,292,189,481,275,232,507,1456,825,2281
67,55,SAMSUN,TR8,Bati Karadeniz,TR83,1,2,0,0,2,11.04.1975,6110,5205,11315,15959,16759,32718,2527,2661,5188,803,676,1479,25399,25301,50700,1035,1093,2128,796,822,1618,256,279,535,0,0,0,2087,2194,4281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,641,515,1156,512,756,1268,448,414,862,0,0,0,1601,1685,3286,7786,6813,14599,17267,18337,35604,3231,3354,6585,803,676,1479,29087,29180,58267,439,159,598,213,129,342,297,212,509,245,221,466,421,539,960,1615,1260,2875
68,63,SANLIURFA,TRC,Güneydogu Anadolu,TRC2,1,1,0,0,1,11.07.1992,5212,4346,9558,6197,6397,12594,1195,777,1972,282,177,459,12886,11697,24583,259,146,405,442,454,896,86,25,111,0,0,0,787,625,1412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5471,4492,9963,6639,6851,13490,1281,802,2083,282,177,459,13673,12322,25995,142,18,160,105,39,144,202,96,298,171,109,280,182,95,277,802,357,1159
69,56,SIIRT,TRC,Güneydogu Anadolu,TRC3,0,1,0,0,1,29.05.2007,2480,2251,4731,4038,4135,8173,580,378,958,88,34,122,7186,6798,13984,811,657,1468,900,725,1625,405,185,590,0,0,0,2116,1567,3683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,218,418,0,0,0,0,0,0,200,218,418,3291,2908,6199,5138,5078,10216,985,563,1548,88,34,122,9502,8583,18085,31,7,38,83,18,101,175,61,236,97,43,140,94,59,153,480,188,668
70,57,SINOP,TR8,Bati Karadeniz,TR82,0,1,0,0,1,29.05.2007,2616,1980,4596,2580,3479,6059,481,443,924,12,10,22,5689,5912,11601,175,166,341,585,480,1065,207,51,258,0,0,0,967,697,1664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177,41,218,0,0,0,0,0,0,0,0,0,177,41,218,2968,2187,5155,3165,3959,7124,688,494,1182,12,10,22,6833,6650,13483,32,22,54,37,42,79,105,116,221,108,70,178,41,37,78,323,287,610
71,73,SIRNAK,TRC,Güneydogu Anadolu,TRC3,0,1,0,0,1,22.05.2008,1312,1189,2501,1089,974,2063,811,301,1112,27,3,30,3239,2467,5706,0,0,0,1,1,2,10,5,15,0,0,0,11,6,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1312,1189,2501,1090,975,2065,821,306,1127,27,3,30,3250,2473,5723,10,1,11,26,5,31,92,32,124,78,27,105,40,18,58,246,83,329
72,58,SIVAS,TR7,Orta Anadolu,TR72,0,2,0,0,2,09.02.1974,6882,6087,12969,10980,12286,23266,1783,1897,3680,312,256,568,19957,20526,40483,875,519,1394,2331,1868,4199,537,369,906,0,0,0,3743,2756,6499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,460,657,1117,0,0,0,0,0,0,460,657,1117,7757,6606,14363,13771,14811,28582,2320,2266,4586,312,256,568,24160,23939,48099,217,82,299,190,85,275,257,237,494,221,151,372,319,329,648,1204,884,2088
73,59,TEKIRDAG,TR2,Bati Marmara,TR21,1,1,0,0,1,17.03.2006,6858,4084,10942,6835,6667,13502,1002,968,1970,144,128,272,14839,11847,26686,952,331,1283,901,358,1259,60,39,99,0,0,0,1913,728,2641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,35,126,0,0,0,91,35,126,7810,4415,12225,7736,7025,14761,1153,1042,2195,144,128,272,16843,12610,29453,138,61,199,89,64,153,147,139,286,125,139,264,160,159,319,659,562,1221
74,60,TOKAT,TR8,Bati Karadeniz,TR83,0,1,0,0,1,11.07.1992,5446,4907,10353,7191,7950,15141,1607,1444,3051,219,155,374,14463,14456,28919,340,486,826,738,779,1517,111,47,158,0,0,0,1189,1312,2501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,8,198,200,398,0,0,0,199,207,406,5786,5393,11179,7930,8736,16666,1916,1691,3607,219,155,374,15851,15975,31826,125,33,158,120,64,184,244,173,417,201,142,343,219,224,443,909,636,1545
75,61,TRABZON,TR9,Dogu Karadeniz,TR90,1,2,1,0,3,20.05.1955,5234,4631,9865,14535,14331,28866,2170,2201,4371,705,730,1435,22644,21893,44537,198,285,483,923,633,1556,13,3,16,0,0,0,1134,921,2055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,16,30,426,241,667,0,0,0,440,257,697,5432,4916,10348,15472,14980,30452,2609,2445,5054,705,730,1435,24218,23071,47289,426,147,573,140,95,235,330,275,605,309,245,554,414,560,974,1619,1322,2941
76,62,TUNCELI,TRB,Ortadogu Anadolu,TRB1,0,1,0,0,1,22.05.2008,1529,1491,3020,1654,2371,4025,539,265,804,6,12,18,3728,4139,7867,0,0,0,4,0,4,10,10,20,0,0,0,14,10,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1529,1491,3020,1658,2371,4029,549,275,824,6,12,18,3742,4149,7891,19,9,28,30,18,48,114,69,183,73,46,119,56,57,113,292,199,491
77,64,USAK,TR3,Ege,TR33,0,1,0,0,1,17.03.2006,3004,2761,5765,6501,7524,14025,505,369,874,125,100,225,10135,10754,20889,815,977,1792,1934,1458,3392,19,14,33,0,0,0,2768,2449,5217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,263,48,311,0,0,0,0,0,0,0,0,0,263,48,311,4082,3786,7868,8435,8982,17417,524,383,907,125,100,225,13166,13251,26417,83,14,97,64,33,97,154,139,293,110,99,209,88,107,195,499,392,891
78,65,VAN,TRB,Ortadogu Anadolu,TRB2,1,1,0,0,1,20.07.1982,4146,3348,7494,7795,7944,15739,2000,1359,3359,424,256,680,14365,12907,27272,110,90,200,53,24,77,698,342,1040,0,0,0,861,456,1317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,34,108,0,0,0,74,34,108,4256,3438,7694,7848,7968,15816,2772,1735,4507,424,256,680,15300,13397,28697,166,47,213,228,87,315,329,164,493,161,84,245,299,174,473,1183,556,1739
79,77,YALOVA,TR4,Dogu Marmara,TR42,0,1,0,0,1,22.05.2008,2424,2229,4653,4418,4132,8550,647,422,1069,157,107,264,7646,6890,14536,971,655,1626,157,234,391,91,68,159,0,0,0,1219,957,2176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3395,2884,6279,4575,4366,8941,738,490,1228,157,107,264,8865,7847,16712,53,17,70,51,22,73,108,68,176,98,80,178,76,79,155,386,266,652
80,66,YOZGAT,TR7,Orta Anadolu,TR72,0,1,0,0,1,17.03.2006,4595,3093,7688,5268,6077,11345,783,570,1353,76,31,107,10722,9771,20493,601,486,1087,1026,764,1790,0,0,0,0,0,0,1627,1250,2877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,237,367,604,0,0,0,115,84,199,0,0,0,352,451,803,5433,3946,9379,6294,6841,13135,898,654,1552,76,31,107,12701,11472,24173,58,20,78,70,44,114,143,137,280,160,114,274,110,97,207,541,412,953
81,67,ZONGULDAK,TR8,Bati Karadeniz,TR81,0,1,0,0,1,11.07.1992,5130,4818,9948,6285,7591,13876,988,872,1860,146,112,258,12549,13393,25942,1344,813,2157,2355,1629,3984,274,139,413,0,0,0,3973,2581,6554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,6,64,0,0,0,58,6,64,6474,5631,12105,8640,9220,17860,1320,1017,2337,146,112,258,16580,15980,32560,102,56,158,79,38,117,166,145,311,159,164,323,202,218,420,708,621,1329
